MS:  	 1818: 
 Chap. 5 From 	  
 philosophy 	 philosophy, 
 chemistry 	 chemistry, in the most comprehensive sense of the term, 
 ^ nearly  	 nearly 
 appli study. 	 occupation. 
 m  	
 books 	 works, 
 discrimination  at have been written which modern  enquirers  	 discrimination, which modern inquirers have written 
 acquaintance 	 acquaintance, 
 M r  	 M. 
 & 	 and 
 information  combined 	 information, combined, 
 true 	 true, 
 phisiognomy & 	 physiognomy and 
 dg dogmatism 	 dogmatism; 
 nature 	 nature, 
 pedantl  	
 It 	 It 
 was perhaps 	 was, perhaps, 
 the  amiable character of this man that 	 the amiable character of this man that 
 enclined 	 inclined 
 me more to 	 me more to 
 the study of 	
 that  branch of 	 that branch of 
 science ^ natural 	 natural 
 philosophy which 	 philosophy which 
 professed  	 professed, 
 than an intrinsic  love 	 than an intrinsic love 
 science itself. But this 	 science itself. But this 
 X circumstance was had state 	 state 
 mind had  place 	 mind had place 
 X was  	
 only in the first steps towards 	 only in the first steps towards 
 the  knowledge; 	 knowledge: 
 the more fully  I entered 	 the more fully I entered 
 more fully  	
 into 	 into 
 the philosophy science   	 the science, 
 more 	 more 
 I 	 I 
 studied  	
 pursued  it  for its own sake. That 	 pursued it for its own sake. That 
 application 	 application, 
 which 	 which 
 had been a matter  of 	 had been a matter of 
 ch  	
 duty 	 duty 
 ^ & 	 and 
 resolution,  now 	 resolution, now 
 eager 	 eager, 
 dissapeared  ^ in 	 disappeared in 
 while 	 whilst 
 labouring engaged in 	 engaged in 
 labrotary.    	 laboratory. 
 I improved rapid ly. 	 I improved rapidly. 
 It  	
 students, 	 students; 
 proficiency 	 proficiency, 
 master.  and  	 masters. 
 me 	 me, 
 smile 	 smile, 
 on ; ^ while 	 on? whilst 
 Waldham 	 Waldman 
 manner 	 manner, 
 ws  	
 engaged 	 engaged, 
 soul 	 soul, 
 discoveries 	 discoveries, 
 No one  	
 it 	 them 
 science– especially  	 science. 
 you 	 you, 
 learn know,  learn, 	 know; 
 their  	
 even  	
 capacity who 	 capacity, which 
 study 	 study, 
 study—And I 	 study; and I, 
 was  	
 applied to sought 	 sought 
 thing object  pursuit  	 object of pursuit, 
 as I was  	
 this  sole I  	 this, 
 rapidly that 	 rapidly, that, 
 the 	
 years 	 years, 
 one or two some trifling  	 some 
 machines instruments  	 instruments, 
 ^ point, 	 point, 
 learned  all 	 become as well acquainted with 
 professors  at Ingolstadt were  qualified to teach that  m y  residence  at In         golstadt was there 	 theory and practice of natural philosophy as depended on the lessons of any of the professors at Ingolstadt, my residence there 
 improvement, 	 improvements, 
 to 	
 stay. One 	 stay.     One 
 those phænonoma 	 the 
 mo st  	
 frame; and indeed that of 	 frame, and, indeed, 
 Whence 	 Whence, 
 myself 	 myself, 
 this 	 the 
 proceed. 	 proceed? 
 that which has 	 which has 
 mystery.  Yet 	 mystery; yet with 
 on 	 upon 
 acquainted with 	 acquainted, 
 enquiries? . 	 inquiries. 
 mind 	 mind, 
 from 	
 treats relate 	 relate 
 phisiology. 	 physiology. 
 irksome 	 irksome, 
 life  de  	 life, 
 recou  	
 No is ano anatomy  	
 anatomy 	 anatomy: 
 sufficient. 	 sufficient; 
 & 	 and 
      	
 not  	
 by  ^ no  	 with no 
 having 	 to have 
 ghost story tale 	 tale 
 superstition  	 superstition, 
 spirit  Ligh  	 spirit. 
 fancy 	 fancy; 
 churchyard 	 church-yard 
 ^ as  	
 rotten b bodies 	 bodies 
 life and  becoming which from 	 life, which, from 
 & strength  ^ become  	 and strength, had become 
 But I  A loathsome c But  now 	 Now 
 obliged led  	 led 
 cause cause & 	 cause and 
 decay 	 decay, 
 Charnel 	 charnel 
 houses. 	 houses. 
 I  was obliged  	
 horror of whic object  calculated to the 	 object the 
 of the 	 of the 
 are suscept able – 	
 a  	
 was became was  	 was 
 wasted. 	 wasted; 
 life – 	 life; 
 worm suc ceeded to inherited  	 worm inherited 
 anal yzed yzing every minutiæ  of  causation all 	 analysing all 
 causation 	 causation, 
 & death 	 and death 
 untill 	 until 
 me.  A 	 me—a 
 & wondrous 	 and wondrous, 
      	
 simple 	 simple, 
 it intoxica ted me I 	 I 
 surprised 	 surprised 
 I  was  	
 genius 	 genius, 
 applied to 	 directed their 
 science 	 science, 
 this 	 so 
 secret. Remember 	 a secret.     Remember, 
 ^ not  	 not 
 no  	
 of  	
 madman – the 	 madman. The 
 heavens 	 heavens, 
 wh ich I 	 which I 
 record affirm,  	 affirm 
 it. But 	 it, yet 
