App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C03_app1	<milestone n="2" type="start" unit="letter"/><head sID="novel1_letter2_div2_head1"/>LETTER 	<pb n="10" xml:id="F1823_v1_029"/><milestone n="2" type="start" unit="letter"/><head sID="novel1_letter2_div2_head1"/>LETTER 	<milestone n="2" type="start" unit="letter"/><head sID="novel1_letter2_div2_head1"/>LETTER 	 	<milestone n="2" type="start" unit="letter"/><head sID="novel1_letter2_div2_head1"/>LETTER 
C03_app2	II.<head eID="novel1_letter2_div2_head1"/><ab sID="novel1_letter2_div2_ab1"/><hi sID="novel1_letter2_div2_ab1_hi1"/>To 	II.<head eID="novel1_letter2_div2_head1"/><head sID="novel1_letter2_div2_head2"/><hi sID="novel1_letter2_div2_head2_hi1"/>To 	II.<head eID="novel1_letter2_div2_head1"/><head sID="novel1_letter2_div2_head2"/><hi sID="novel1_letter2_div2_head2_hi1"/>To 		II.<head eID="novel1_letter2_div2_head1"/><ab sID="novel1_letter2_div2_ab1"/><hi sID="novel1_letter2_div2_ab1_hi1"/>To 
C03_app3	Mrs.<hi eID="novel1_letter2_div2_ab1_hi1"/> S<hi sID="novel1_letter2_div2_ab1_hi2"/>AVILLE<hi eID="novel1_letter2_div2_ab1_hi2"/>, 	Mrs.<hi eID="novel1_letter2_div2_head2_hi1"/> S<hi sID="novel1_letter2_div2_head2_hi2"/>AVILLE<hi eID="novel1_letter2_div2_head2_hi2"/>, 	Mrs. Saville, 		Mrs.<hi eID="novel1_letter2_div2_ab1_hi1"/> S<hi sID="novel1_letter2_div2_ab1_hi2"/>AVILLE<hi eID="novel1_letter2_div2_ab1_hi2"/>, 
C03_app4	<hi sID="novel1_letter2_div2_ab1_hi3"/>England.<hi eID="novel1_letter2_div2_ab1_hi3"/><ab eID="novel1_letter2_div2_ab1"/><p sID="novel1_letter2_div2_p1"/>Archangel, 	<hi sID="novel1_letter2_div2_head2_hi3"/>England<hi eID="novel1_letter2_div2_head2_hi3"/>.<head eID="novel1_letter2_div2_head2"/><p sID="novel1_letter2_div2_p1"/>Archangel, 	England.<hi eID="novel1_letter2_div2_head2_hi1"/><head eID="novel1_letter2_div2_head2"/><p sID="novel1_letter2_div2_p1"/>Archangel, 		<hi sID="novel1_letter2_div2_ab1_hi3"/>England.<hi eID="novel1_letter2_div2_ab1_hi3"/><ab eID="novel1_letter2_div2_ab1"/><p sID="novel1_letter2_div2_p1"/>Archangel, 
C03_app5	28th March, 17—.<p eID="novel1_letter2_div2_p1"/><p sID="novel1_letter2_div2_p2"/>How slowly the time passes here, encompassed as I am by frost and 	28th March, 17—.<p eID="novel1_letter2_div2_p1"/><p sID="novel1_letter2_div2_p2"/>How slowly the time passes here, encompassed as I am by frost and 	28th March, 17—.<p eID="novel1_letter2_div2_p1"/><p sID="novel1_letter2_div2_p2"/>How slowly the time passes here, encompassed as I am by frost and 		28th March, 17—.<p eID="novel1_letter2_div2_p1"/><p sID="novel1_letter2_div2_p2"/>How slowly the time passes here, encompassed as I am by frost and 
C03_app6	snow; 	snow; 	snow! 		snow; 
C03_app7	yet a second step is taken towards my enterprise. I have hired a vessel, and am occupied in collecting my sailors; those whom I have already 	yet a second step is taken towards my enterprise. I have hired a vessel, and am occupied in collecting my sailors; those whom I have already 	yet a second step is taken towards my enterprise. I have hired a vessel, and am occupied in collecting my sailors; those whom I have already 		yet a second step is taken towards my enterprise. I have hired a vessel, and am occupied in collecting my sailors; those whom I have already 
C03_app8	engaged 	engaged 	engaged, 		engaged 
C03_app9	appear to be men on whom I can depend, and are certainly possessed of dauntless courage.<p eID="novel1_letter2_div2_p2"/><p sID="novel1_letter2_div2_p3"/>But I have one want which I have never yet been able to satisfy; and 	appear to be men on whom I can depend, and are certainly possessed of dauntless courage.<p eID="novel1_letter2_div2_p2"/><p sID="novel1_letter2_div2_p3"/>But I have one want which I have never yet been able to satisfy; and 	appear to be men on whom I can depend, and are certainly possessed of dauntless courage.<p eID="novel1_letter2_div2_p2"/><p sID="novel1_letter2_div2_p3"/>But I have one want which I have never yet been able to satisfy; and 		appear to be men on whom I can depend, and are certainly possessed of dauntless courage.<p eID="novel1_letter2_div2_p2"/><p sID="novel1_letter2_div2_p3"/>But I have one want which I have never yet been able to satisfy; and 
C03_app10	the 	<pb n="11" xml:id="F1823_v1_030"/>the 	the 		the 
C03_app11	absence of the object of which I 	absence of the object of which I 	absence of the object of which I 		absence of the object of which I 
C03_app12	<pb n="011" xml:id="F1818_v1_023"/>now 	now 	now 		<pb n="011" xml:id="F1818_v1_023"/>now 
C03_app13	feel as a most severe evil. I have no friend, Margaret: when I am glowing with the enthusiasm of success, there will be none to participate my joy; if I am assailed by disappointment, no one will endeavour to sustain me in dejection. I shall commit my thoughts to paper, it is true; but that is a poor medium for the communication of 	feel as a most severe evil. I have no friend, Margaret: when I am glowing with the enthusiasm of success, there will be none to participate my joy; if I am assailed by disappointment, no one will endeavour to sustain me in dejection. I shall commit my thoughts to paper, it is true; but that is a poor medium for the communication of 	feel as a most severe evil. I have no friend, Margaret: when I am glowing with the enthusiasm of success, there will be none to participate my joy; if I am assailed by disappointment, no one will endeavour to sustain me in dejection. I shall commit my thoughts to paper, it is true; but that is a poor medium for the communication of 		feel as a most severe evil. I have no friend, Margaret: when I am glowing with the enthusiasm of success, there will be none to participate my joy; if I am assailed by disappointment, no one will endeavour to sustain me in dejection. I shall commit my thoughts to paper, it is true; but that is a poor medium for the communication of 
C03_app14	feeling. 	feeling. 	<pb n="7" xml:id="F1831_v_023"/>feeling. 		feeling. 
C03_app15	I desire the company of a man who could 	I desire the company of a man who could 	I desire the company of a man who could 		I desire the company of a man who could 
C03_app16	sympathize 	sympathize 	sympathise 		sympathize 
C03_app17	with me; whose eyes would reply to mine. You may deem me romantic, my dear sister, but I bitterly feel the want of a friend. I have no one near me, gentle yet courageous, possessed of a cultivated as well as of a capacious mind, whose tastes are like my own, to approve or amend my plans. How would such a friend repair the faults of your poor brother! I am too ardent in execution, 	with me; whose eyes would reply to mine. You may deem me romantic, my dear sister, but I bitterly feel the want of a friend. I have no one near me, gentle yet courageous, possessed of a cultivated as well as of a capacious mind, whose tastes are like my own, to approve or amend my plans. How would such a friend repair the faults of your poor brother! I am too ardent in execution, 	with me; whose eyes would reply to mine. You may deem me romantic, my dear sister, but I bitterly feel the want of a friend. I have no one near me, gentle yet courageous, possessed of a cultivated as well as of a capacious mind, whose tastes are like my own, to approve or amend my plans. How would such a friend repair the faults of your poor brother! I am too ardent in execution, 		with me; whose eyes would reply to mine. You may deem me romantic, my dear sister, but I bitterly feel the want of a friend. I have no one near me, gentle yet courageous, possessed of a cultivated as well as of a capacious mind, whose tastes are like my own, to approve or amend my plans. How would such a friend repair the faults of your poor brother! I am too ardent in execution, 
C03_app18	and 	<pb n="12" xml:id="F1823_v1_031"/>and 	and 		and 
C03_app19	too impatient of 	too impatient of 	too impatient of 		too impatient of 
C03_app20	difficul<pb n="012" xml:id="F1818_v1_024"/>ties. 	difficulties. 	difficulties. 		difficul<pb n="012" xml:id="F1818_v1_024"/>ties. 
C03_app21	But it is a still greater evil to me that I am self-educated: for the first fourteen years of my life I ran wild on a common, and read nothing but our uncle Thomas’s books of voyages. At that age I became acquainted with the celebrated poets of our own country; but it was only when it had ceased to be in my power to derive its most important benefits from such a conviction, that I perceived the necessity of becoming acquainted with more languages than that of my native country. Now I am twenty-eight, and am in reality more illiterate than many 	But it is a still greater evil to me that I am self-educated: for the first fourteen years of my life I ran wild on a common, and read nothing but our uncle Thomas’s books of voyages. At that age I became acquainted with the celebrated poets of our own country; but it was only when it had ceased to be in my power to derive its most important benefits from such a conviction, that I perceived the necessity of becoming acquainted with more languages than that of my native country. Now I am twenty-eight, and am in reality more illiterate than many 	But it is a still greater evil to me that I am self-educated: for the first fourteen years of my life I ran wild on a common, and read nothing but our uncle Thomas’s books of voyages. At that age I became acquainted with the celebrated poets of our own country; but it was only when it had ceased to be in my power to derive its most important benefits from such a conviction, that I perceived the necessity of becoming acquainted with more languages than that of my native country. Now I am twenty-eight, and am in reality more illiterate than many 		But it is a still greater evil to me that I am self-educated: for the first fourteen years of my life I ran wild on a common, and read nothing but our uncle Thomas’s books of voyages. At that age I became acquainted with the celebrated poets of our own country; but it was only when it had ceased to be in my power to derive its most important benefits from such a conviction, that I perceived the necessity of becoming acquainted with more languages than that of my native country. Now I am twenty-eight, and am in reality more illiterate than many 
C03_app22	school-boys 	school-boys 	schoolboys 		school-boys 
C03_app23	of fifteen. It is true that I have thought more, and that my day dreams are more extended and magnificent; but they want (as the painters call it) <hi sID="novel1_letter2_div2_p3_hi1"/>keeping;<hi eID="novel1_letter2_div2_p3_hi1"/> and I greatly need a friend who would have sense enough not to despise me as romantic, and affection 	of fifteen. It is true that I have thought more, and that my day dreams are more extended and magnificent; but they want (as the painters call it) <hi sID="novel1_letter2_div2_p3_hi1"/>keeping;<hi eID="novel1_letter2_div2_p3_hi1"/> and I greatly need a friend who would have sense enough not to despise me as romantic, and affection 	of fifteen. It is true that I have thought more, and that my day dreams are more extended and magnificent; but they want (as the painters call it) <hi sID="novel1_letter2_div2_p3_hi1"/>keeping;<hi eID="novel1_letter2_div2_p3_hi1"/> and I greatly need a friend who would have sense enough not to despise me as romantic, and affection 		of fifteen. It is true that I have thought more, and that my day dreams are more extended and magnificent; but they want (as the painters call it) <hi sID="novel1_letter2_div2_p3_hi1"/>keeping;<hi eID="novel1_letter2_div2_p3_hi1"/> and I greatly need a friend who would have sense enough not to despise me as romantic, and affection 
C03_app24	<pb n="013" xml:id="F1818_v1_025"/>enough 	<pb n="13" xml:id="F1823_v1_032"/>enough 	enough 		<pb n="013" xml:id="F1818_v1_025"/>enough 
C03_app25	for me to endeavour to regulate my mind.<p eID="novel1_letter2_div2_p3"/><p sID="novel1_letter2_div2_p4"/>Well, these are useless complaints; I shall certainly find no friend on the wide ocean, nor even here in Archangel, among merchants and seamen. Yet some feelings, unallied to the dross of human nature, beat even in these rugged bosoms. My lieutenant, for instance, is a man of wonderful courage and enterprise; he is madly desirous 	for me to endeavour to regulate my mind.<p eID="novel1_letter2_div2_p3"/><p sID="novel1_letter2_div2_p4"/>Well, these are useless complaints; I shall certainly find no friend on the wide ocean, nor even here in Archangel, among merchants and seamen. Yet some feelings, unallied to the dross of human nature, beat even in these rugged bosoms. My lieutenant, for instance, is a man of wonderful courage and enterprise; he is madly desirous 	for me to endeavour to regulate my mind.<p eID="novel1_letter2_div2_p3"/><p sID="novel1_letter2_div2_p4"/>Well, these are useless complaints; I shall certainly find no friend on the wide ocean, nor even here in Archangel, among merchants and seamen. Yet some feelings, unallied to the dross of human nature, beat even in these rugged bosoms. My lieutenant, for instance, is a man of wonderful courage and enterprise; he is madly desirous 		for me to endeavour to regulate my mind.<p eID="novel1_letter2_div2_p3"/><p sID="novel1_letter2_div2_p4"/>Well, these are useless complaints; I shall certainly find no friend on the wide ocean, nor even here in Archangel, among merchants and seamen. Yet some feelings, unallied to the dross of human nature, beat even in these rugged bosoms. My lieutenant, for instance, is a man of wonderful courage and enterprise; he is madly desirous 
C03_app26			of glory: or rather, to word my phrase more characteristically, 		
C03_app27	of 	of 	of 		of 
C03_app28	glory. 	glory. 	advancement in his profession. 		glory. 
C03_app29	He is an Englishman, and in the midst of national and professional prejudices, unsoftened by cultivation, retains some of the noblest endowments of humanity. I first became acquainted with him on board a whale vessel: finding that he was unemployed in this city, I easily engaged him to assist in my enterprise.<p eID="novel1_letter2_div2_p4"/><p sID="novel1_letter2_div2_p5"/>The master is a person of an excellent disposition, and is remarkable in 	He is an Englishman, and in the midst of national and professional prejudices, unsoftened by cultivation, retains some of the noblest endowments of humanity. I first became acquainted with him on board a whale vessel: finding that he was unemployed in this city, I easily engaged him to assist in my enterprise.<p eID="novel1_letter2_div2_p4"/><p sID="novel1_letter2_div2_p5"/>The master is a person of an excellent disposition, and is remarkable in 	He is an Englishman, and in the midst of national and professional prejudices, unsoftened by cultivation, retains some of the noblest endowments of humanity. I first became acquainted with him on board a whale vessel: finding that he was unemployed in this city, I easily engaged him to assist in my enterprise.<p eID="novel1_letter2_div2_p4"/><p sID="novel1_letter2_div2_p5"/>The master is a person of an excellent disposition, and is remarkable in 		He is an Englishman, and in the midst of national and professional prejudices, unsoftened by cultivation, retains some of the noblest endowments of humanity. I first became acquainted with him on board a whale vessel: finding that he was unemployed in this city, I easily engaged him to assist in my enterprise.<p eID="novel1_letter2_div2_p4"/><p sID="novel1_letter2_div2_p5"/>The master is a person of an excellent disposition, and is remarkable in 
C03_app30	<pb n="014" xml:id="F1818_v1_026"/>the 	the 	the 		<pb n="014" xml:id="F1818_v1_026"/>the 
C03_app31	ship for his 	ship for his 	ship for his 		ship for his 
C03_app32	gentleness, 	gentleness 	gentleness 		gentleness, 
C03_app33	and the 	and the 	and the 		and the 
C03_app34	mildness 	mild<pb n="14" xml:id="F1823_v1_033"/>ness 	mild<pb n="8" xml:id="F1831_v_024"/>ness 		mildness 
C03_app35	of his discipline. 	of his discipline. 	of his discipline. 		of his discipline. 
C03_app36	He is, indeed, of so amiable 	He is, indeed, of so amiable 	This circumstance, added to his well known integrity and dauntless courage, made me very desirous to engage him. 		He is, indeed, of so amiable 
C03_app37	a 	a 	A 		a 
C03_app38	nature, that he will not hunt (a favourite, 	nature, that he will not hunt (a favourite, 	youth passed in solitude, my best years spent under your gentle 		nature, that he will not hunt (a favourite, 
C03_app39	and 	and 	and 		and 
C03_app40	almost 	almost 	feminine fosterage, has so refined 		almost 
C03_app41	the 	the 	the 		the 
C03_app42	only amusement here), because he 	only amusement here), because he 	groundwork of my character, that I 		only amusement here), because he 
C03_app43	cannot 	cannot 	cannot 		cannot 
C03_app44	endure 	endure 	overcome an intense distaste 		endure 
