App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C16_app1	<lb n="c56-0119__main__1"/><milestone spanTo="#c56-0119.01" unit="tei:head"/>Chap. 14<milestone unit="tei:p"/><lb n="c56-0119__main__2"/>The	<milestone n="9" type="start" unit="chapter"/><pb n="016" xml:id="F1818_v2_020"/><head sID="novel1_letter4_chapter9_div4_div10_head1"/>CHAPTER II.<head eID="novel1_letter4_chapter9_div4_div10_head1"/><p sID="novel1_letter4_chapter9_div4_div10_p1"/>T<hi sID="novel1_letter4_chapter9_div4_div10_p1_hi1"/>HE<hi eID="novel1_letter4_chapter9_div4_div10_p1_hi1"/>	<milestone n="9" type="start" unit="chapter"/><pb n="016" xml:id="F1818_v2_020"/><head sID="novel1_letter4_chapter9_div4_div10_head1"/>CHAPTER II.<head eID="novel1_letter4_chapter9_div4_div10_head1"/><p sID="novel1_letter4_chapter9_div4_div10_p1"/>T<hi sID="novel1_letter4_chapter9_div4_div10_p1_hi1"/>HE<hi eID="novel1_letter4_chapter9_div4_div10_p1_hi1"/>	<pb n="197" xml:id="F1823_v1_216"/><milestone n="9" type="start" unit="chapter"/><head sID="novel1_letter4_chapter9_div4_div9_head1"/>CHAPTER IX.<head eID="novel1_letter4_chapter9_div4_div9_head1"/><p sID="novel1_letter4_chapter9_div4_div9_p1"/>T<hi sID="novel1_letter4_chapter9_div4_div9_p1_hi1"/>HE<hi eID="novel1_letter4_chapter9_div4_div9_p1_hi1"/>	<milestone n="10" type="start" unit="chapter"/><head sID="novel1_letter4_chapter10_div4_div10_head1"/>CHAPTER X.<head eID="novel1_letter4_chapter10_div4_div10_head1"/><p sID="novel1_letter4_chapter10_div4_div10_p1"/>I <hi sID="novel1_letter4_chapter10_div4_div10_p1_hi1"/>SPENT<hi eID="novel1_letter4_chapter10_div4_div10_p1_hi1"/> the following day roaming through the valley. I stood beside the sources of the Arveiron, which take their rise in a glacier, that with slow pace is advancing down from the summit of the hills,
C16_app2	next day, contrary	next day, contrary	next day, contrary	next day, contrary	
C16_app3	to	to	to	to	to
C16_app4					barricade the valley. The abrupt sides of vast mountains were before me; the icy wall of the glacier overhung me; a few shattered pines were scattered around; and
C16_app5	the	the	the	the	the
C16_app6	prognostics	prognostications	prognostications	prognostications	solemn silence of this glorious presence-chamber
C16_app7	of	of	of	of	of
C16_app8	our	our	our	our	imperial Nature
C16_app9	<lb n="c56-0119__main__3"/>				
C16_app10	guides,	guides,	guides,	guides,	
