App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C18_app1	<milestone n="11" type="start" unit="chapter"/><pb n="053" xml:id="F1818_v2_057"/><head sID="novel1_letter4_chapter11_div4_div12_head1"/>CHAPTER IV.<head eID="novel1_letter4_chapter11_div4_div12_head1"/><p sID="novel1_letter4_chapter11_div4_div12_p1"/> “I 	<milestone n="11" type="start" unit="chapter"/><head sID="novel1_letter4_chapter11_div4_div11_head1"/>CHAPTER XI.<head eID="novel1_letter4_chapter11_div4_div11_head1"/><p sID="novel1_letter4_chapter11_div4_div11_p1"/>“I 	<milestone n="12" type="start" unit="chapter"/><head sID="novel1_letter4_chapter12_div4_div12_head1"/>CHAPTER XII.<head eID="novel1_letter4_chapter12_div4_div12_head1"/><p sID="novel1_letter4_chapter12_div4_div12_p1"/>“I 	<milestone unit="tei:p"/><lb n="c57-0015__main__19"/> I 	<milestone n="11" type="start" unit="chapter"/><pb n="053" xml:id="F1818_v2_057"/><head sID="novel1_letter4_chapter11_div4_div12_head1"/>CHAPTER IV.<head eID="novel1_letter4_chapter11_div4_div12_head1"/><p sID="novel1_letter4_chapter11_div4_div12_p1"/> “I 
C18_app2	<hi sID="novel1_letter4_chapter11_div4_div12_p1_hi1"/>LAY<hi eID="novel1_letter4_chapter11_div4_div12_p1_hi1"/> on my 	<hi sID="novel1_letter4_chapter11_div4_div11_p1_hi1"/>LAY<hi eID="novel1_letter4_chapter11_div4_div11_p1_hi1"/> on my 	<hi sID="novel1_letter4_chapter12_div4_div12_p1_hi1"/>LAY<hi eID="novel1_letter4_chapter12_div4_div12_p1_hi1"/> on my 	lay on my 	<hi sID="novel1_letter4_chapter11_div4_div12_p1_hi1"/>LAY<hi eID="novel1_letter4_chapter11_div4_div12_p1_hi1"/> on my 
C18_app3	straw, 	straw, 	straw, 	straw 	straw, 
C18_app4	but I could not 	but I could not 	but I could not 	but I could not 	but I could not 
C18_app5	sleep. 	sleep. 	sleep. 	<lb n="c57-0015__main__20"/> sleep – 	sleep. 
C18_app6	I thought of the 	I thought of the 	I thought of the 	I thought of the 	I thought of the 
C18_app7	occurrences 	occurrences 	occurrences 	occurences 	occurrences 
C18_app8	of 	of 	of 	of 	of 
C18_app9				<lb n="c57-0015__main__21"/> 	
C18_app10	the 	the 	the 	the 	the 
C18_app11	day. 	day. 	day. 	day.– 	day. 
C18_app12	What 	What 	What 	What 	What 
C18_app13	chiefly 	chiefly 	chiefly 	cheifly 	chiefly 
C18_app14	struck me was 	struck me was 	struck me was 	struck me was 	struck me was 
C18_app15				<lb n="c57-0015__main__22"/> 	
C18_app16	the gentle manners of these 	the gentle manners of these 	the gentle manners of these 	the gentle manners of these 	the gentle manners of these 
C18_app17	people; 	people; 	people; 	people, 	people; 
C18_app18	and 	and 	and 	and 	and 
C18_app19				<lb n="c57-0015__main__23"/> 	
C18_app20	I longed to join 	I longed to join 	I longed to join 	I longed to join 	I longed to join 
C18_app21	them, 	them, 	them, 	them 	them, 
C18_app22	but dared 	but dared 	but dared 	but dared 	but dared 
C18_app23	not. 	not. 	not. 	not.— <lb n="c57-0015__main__24"/> 	not. 
C18_app24	I remembered too well the treatment I 	I remembered too well the treatment I 	I remembered too well the treatment I 	I remembered too well the treatment I 	I remembered too well the treatment I 
C18_app25				<lb n="c57-0015__main__25"/> 	
C18_app26	had suffered the night before 	had suffered the night before 	had suffered the night before 	had suffered the night before 	had suffered the night before 
C18_app27	from 	from 	from 	fro<mdel>n</mdel>m<lb n="c57-0015__main__26"/> 	from 
C18_app28	the barbarous 	the barbarous 	the barbarous 	the barbarous 	the barbarous 
C18_app29	villagers, 	villagers, 	villagers, 	villagers 	villagers, 
C18_app30	and 	and 	and 	and 	and 
C18_app31	resolved, 	resolved, 	resolved, 	resolved <lb n="c57-0015__main__27"/> 	resolved, 
C18_app32	whatever 	whatever 	whatever 	whatever 	whatever 
C18_app33	course 	course 	course 	<del rend="strikethrough" sID="c57-0015__main__d3e3230"/>I<del eID="c57-0015__main__d3e3230"/><del next="#c57-0015.03" rend="strikethrough" sID="c57-0015__main__d3e3233"/>should<del eID="c57-0015__main__d3e3233"/><metamark function="insert">^</metamark>course 	course 
C18_app34	of conduct I 	of conduct I 	of conduct I 	of conduct I 	of conduct I 
C18_app35	might hereafter think it right 	might hereafter think it right 	might hereafter think it right 	might<del rend="strikethrough" sID="c57-0015__main__d3e3245" xml:id="c57-0015.03"/>afterwards<del eID="c57-0015__main__d3e3245"/><del next="#c57-0015.04" rend="strikethrough" sID="c57-0015__main__d3e3248"/>think it<del eID="c57-0015__main__d3e3248"/>hereafter consider<lb n="c57-0015__main__28"/><del rend="strikethrough" sID="c57-0015__main__d3e3257" xml:id="c57-0015.04"/>right to do<del eID="c57-0015__main__d3e3257"/>it proper 	might hereafter think it right 
C18_app36	to 	to 	to 	to 	to 
C18_app37	pursue, 	pursue, 	pursue, 	pursue 	pursue, 
C18_app38	that for the present I would 	that for the present I would 	that for the present I would 	that for the present I would 	that for the present I would 
C18_app39				<lb n="c57-0015__main__29"/> 	
